0209756B	010FFC31
0209756C	010FFC32
0209756D	010FFC33
0209756E	010FFC34
0209756F	010FFC35
02097570	010FFC36
02097571	010FFC37
02097572	010FFC38
02097573	010FFC39
02097574	010FFC3A
02097575	010FFC3B
02097576	010FFC3C
02097577	010FFC3D
02097578	010FFC3E
02097579	010FFC3F
0209757A	010FFC40
0209757B	010FFC41
0209757C	010FFC42
0209757D	010FFC43
0209757E	010FFC44
02097621	010FFC45
02097622	010FFC46
02097623	010FFC47
02097624	010FFC48
02097625	010FFC49
02097626	010FFC4A
02097627	010FFC4B
02097628	010FFC4C
02097629	010FFC4D
0209762A	010FFC4E
0209762B	010FFC4F
0209762C	010FFC50
0209762D	010FFC51
0209762E	010FFC52
0209762F	010FFC53
02097630	010FFC54
02097631	010FFC55
02097632	010FFC56
02097633	010FFC57
02097634	010FFC58
02097635	010FFC59
02097636	010FFC5A
02097637	010FFC5B
02097638	010FFC5C
02097639	010FFC5D
0209763A	010FFC5E
0209763B	010FFC5F
0209763C	010FFC60
0209763D	010FFC61
0209763E	010FFC62
0209763F	010FFC63
02097640	010FFC64
02097641	010FFC65
02097642	010FFC66
02097643	010FFC67
02097644	010FFC68
02097645	010FFC69
02097646	010FFC6A
02097647	010FFC6B
02097648	010FFC6C
02097649	010FFC6D
0209764A	010FFC6E
0209764B	010FFC6F
0209764D	010FFC71
0209764E	010FFC72
0209764F	010FFC73
02097650	010FFC74
02097651	010FFC75
02097652	010FFC76
02097653	010FFC77
02097654	010FFC78
02097655	010FFC79
02097656	010FFC7A
02097657	010FFC7B
02097658	010FFC7C
02097659	010FFC7D
0209765A	010FFC7E
0209765B	010FFC7F
0209765C	010FFC80
0209765D	010FFC81
0209765E	010FFC82
0209765F	010FFC83
02097660	010FFC84
02097661	010FFC85
02097662	010FFC86
02097663	010FFC87
02097664	010FFC88
02097665	010FFC89
02097666	010FFC8A
02097667	010FFC8B
02097668	010FFC8C
02097669	010FFC8D
0209766A	010FFC8E
0209766B	010FFC8F
0209766C	010FFC90
0209766D	010FFC91
0209766E	010FFC92
0209766F	010FFC93
02097670	010FFC94
02097671	010FFC95
02097672	010FFC96
02097673	010FFC97
02097674	010FFC98
02097675	010FFC99
02097676	010FFC9A
02097677	010FFC9B
02097678	010FFC9C
02097679	010FFC9D
0209767A	010FFC9E
0209767B	010FFC9F
0209767C	010FFCA0
0209767D	010FFCA1
0209767E	010FFCA2
02097721	010FFCA3
02097722	010FFCA4
02097723	010FFCA5
02097724	010FFCA6
02097725	010FFCA7
02097726	010FFCA8
02097727	010FFCA9
02097728	010FFCAA
02097729	010FFCAB
0209772A	010FFCAC
0209772B	010FFCAD
0209772C	010FFCAE
0209772D	010FFCAF
0209772E	010FFCB0
0209772F	010FFCB1
02097730	010FFCB2
02097731	010FFCB3
02097732	010FFCB4
02097733	010FFCB5
02097734	010FFCB6
02097735	010FFCB7
02097736	010FFCB8
02097737	010FFCB9
02097738	010FFCBA
02097739	010FFCBB
0209773A	010FFCBC
0209773B	010FFCBD
0209773C	010FFCBE
0209773D	010FFCBF
0209773E	010FFCC0
0209773F	010FFCC1
02097740	010FFCC2
02097741	010FFCC3
02097742	010FFCC4
02097743	010FFCC5
02097744	010FFCC6
02097745	010FFCC7
02097746	010FFCC8
02097747	010FFCC9
02097748	010FFCCA
02097749	010FFCCB
0209774A	010FFCCC
0209774B	010FFCCD
0209774C	010FFCCE
0209774D	010FFCCF
0209774E	010FFCD0
0209774F	010FFCD1
02097750	010FFCD2
02097751	010FFCD3
02097752	010FFCD4
02097753	010FFCD5
02097754	010FFCD6
02097755	010FFCD7
02097756	010FFCD8
02097757	010FFCD9
02097758	010FFCDA
02097759	010FFCDB
0209775A	010FFCDC
0209775B	010FFCDD
0209775C	010FFCDE
0209775D	010FFCDF
0209775E	010FFCE0
0209775F	010FFCE1
02097760	010FFCE2
02097761	010FFCE3
02097762	010FFCE4
02097763	010FFCE5
02097764	010FFCE6
02097765	010FFCE7
02097766	010FFCE8
02097767	010FFCE9
02097768	010FFCEA
02097769	010FFCEB
0209776A	010FFCEC
0209776B	010FFCED
0209776C	010FFCEE
0209776D	010FFCEF
0209776E	010FFCF0
0209776F	010FFCF1
02097770	010FFCF2
02097771	010FFCF3
02097772	010FFCF4
02097773	010FFCF5
02097774	010FFCF6
02097775	010FFCF7
02097776	010FFCF8
02097777	010FFCF9
02097778	010FFCFA
02097779	010FFCFB
0209777A	010FFCFC
0209777B	010FFCFD
0209777C	010FFCFE
0209777D	010FFCFF
0209777E	010FFD00
02097821	010FFD01
02097822	010FFD02
02097823	010FFD03
02097824	010FFD04
02097825	010FFD05
02097826	010FFD06
02097827	010FFD07
02097828	010FFD08
02097829	010FFD09
0209782A	010FFD0A
0209782C	010FFD0C
0209782D	010FFD0D
0209782E	010FFD0E
0209782F	010FFD0F
02097830	010FFD10
02097831	010FFD11
02097832	010FFD12
02097833	010FFD13
02097834	010FFD14
02097835	010FFD15
02097836	010FFD16
02097837	010FFD17
02097838	010FFD18
02097839	010FFD19
0209783A	010FFD1A
0209783B	010FFD1B
0209783C	010FFD1C
0209783D	010FFD1D
0209783E	010FFD1E
0209783F	010FFD1F
02097840	010FFD20
02097841	010FFD21
02097842	010FFD22
02097843	010FFD23
02097844	010FFD24
02097845	010FFD25
02097846	010FFD26
02097847	010FFD27
02097848	010FFD28
02097849	010FFD29
0209784A	010FFD2A
0209784B	010FFD2B
0209784C	010FFD2C
0209784D	010FFD2D
0209784E	010FFD2E
0209784F	010FFD2F
02097850	010FFD30
02097851	010FFD31
02097852	010FFD32
02097853	010FFD33
02097854	010FFD34
02097855	010FFD35
02097856	010FFD36
02097857	010FFD37
02097858	010FFD38
02097859	010FFD39
0209785A	010FFD3A
0209785B	010FFD3B
0209785C	010FFD3C
0209785D	010FFD3D
0209785E	010FFD3E
0209785F	010FFD3F
02097860	010FFD40
02097861	010FFD41
02097862	010FFD42
02097863	010FFD43
02097864	010FFD44
02097865	010FFD45
02097866	010FFD46
02097867	010FFD47
02097868	010FFD48
02097869	010FFD49
0209786A	010FFD4A
0209786B	010FFD4B
0209786C	010FFD4C
0209786D	010FFD4D
0209786E	010FFD4E
0209786F	010FFD4F
02097870	010FFD50
02097871	010FFD51
02097872	010FFD52
02097873	010FFD53
02097874	010FFD54
02097875	010FFD55
02097876	010FFD56
02097877	010FFD57
02097878	010FFD58
02097879	010FFD59
0209787A	010FFD5A
0209787B	010FFD5B
0209787C	010FFD5C
0209787D	010FFD5D
0209787E	010FFD5E
02097921	010FFD5F
02097922	010FFD60
02097923	010FFD61
02097924	010FFD62
02097925	010FFD63
02097926	010FFD64
02097927	010FFD65
02097928	010FFD66
02097929	010FFD67
0209792A	010FFD68
0209792B	010FFD69
0209792C	010FFD6A
0209792D	010FFD6B
0209792E	010FFD6C
0209792F	010FFD6D
02097930	010FFD6E
02097931	010FFD6F
02097932	010FFD70
02097933	010FFD71
02097934	010FFD72
02097935	010FFD73
02097936	010FFD74
02097937	010FFD75
02097938	010FFD76
02097939	010FFD77
0209793A	010FFD78
0209793B	010FFD79
0209793C	010FFD7A
0209793D	010FFD7B
0209793E	010FFD7C
0209793F	010FFD7D
02097941	010FFD7F
02097942	010FFD80
02097943	010FFD81
02097944	010FFD82
02097945	010FFD83
02097946	010FFD84
02097947	010FFD85
02097948	010FFD86
02097949	010FFD87
0209794A	010FFD88
0209794B	010FFD89
0209794C	010FFD8A
0209794D	010FFD8B
0209794E	010FFD8C
0209794F	010FFD8D
02097950	010FFD8E
02097951	010FFD8F
02097952	010FFD90
02097953	010FFD91
02097954	010FFD92
02097955	010FFD93
02097956	010FFD94
02097957	010FFD95
02097958	010FFD96
02097959	010FFD97
0209795A	010FFD98
0209795B	010FFD99
0209795C	010FFD9A
0209795D	010FFD9B
0209795E	010FFD9C
0209795F	010FFD9D
02097960	010FFD9E
02097961	010FFD9F
02097962	010FFDA0
02097963	010FFDA1
02097964	010FFDA2
02097965	010FFDA3
02097966	010FFDA4
02097967	010FFDA5
02097968	010FFDA6
02097969	010FFDA7
0209796A	010FFDA8
0209796B	010FFDA9
0209796C	010FFDAA
0209796D	010FFDAB
0209796E	010FFDAC
0209796F	010FFDAD
02097970	010FFDAE
02097971	010FFDAF
02097972	010FFDB0
02097973	010FFDB1
02097974	010FFDB2
02097975	010FFDB3
02097976	010FFDB4
02097977	010FFDB5
02097978	010FFDB6
02097979	010FFDB7
0209797A	010FFDB8
0209797B	010FFDB9
0209797C	010FFDBA
0209797D	010FFDBB
0209797E	010FFDBC
02097A21	010FFDBD
02097A22	010FFDBE
02097A23	010FFDBF
02097A24	010FFDC0
02097A25	010FFDC1
02097A26	010FFDC2
02097A27	010FFDC3
02097A28	010FFDC4
02097A29	010FFDC5
02097A2A	010FFDC6
02097A2B	010FFDC7
02097A2C	010FFDC8
02097A2D	010FFDC9
02097A2E	010FFDCA
02097A2F	010FFDCB
02097A30	010FFDCC
02097A31	010FFDCD
02097A32	010FFDCE
02097A33	010FFDCF
02097A34	010FFDD0
02097A35	010FFDD1
02097A36	010FFDD2
02097A37	010FFDD3
02097A38	010FFDD4
02097A39	010FFDD5
02097A3A	010FFDD6
02097A3B	010FFDD7
02097A3C	010FFDD8
